acm_certificate_test	aws_acm_certificate.private_cert
cloudfront_distribution_test	aws_cloudfront_distribution.s3_distribution_1_with_logging
cloudfront_distribution_test	aws_cloudfront_distribution.s3_distribution_2_with_encryption
cloudfront_distribution_test	aws_cloudfront_distribution.s3_distribution_3_with_ssl
cloudfront_distribution_test	aws_cloudfront_distribution.s3_distribution_with_single_non_default_usage
cloudfront_distribution_test	aws_cloudfront_distribution.s3_distribution_with_usage
cloudfront_distribution_test	aws_cloudfront_distribution.s3_distribution_with_zero_usage
cloudfront_distribution_test	aws_s3_bucket.b
cloudfront_distribution_test	aws_s3_bucket_acl.b_acl
cloudfront_function_test	aws_cloudfront_function.bibit_deeplink_cf_function
cloudhsm_v2_hsm_test	aws_cloudhsm_v2_hsm.cloudhsm_v2_hsm
cloudhsm_v2_hsm_test	aws_cloudhsm_v2_hsm.cloudhsm_v2_hsm_with_usage
cloudtrail_test	aws_cloudtrail.cloudtrail_with_defaults
cloudtrail_test	aws_cloudtrail.cloudtrail_with_insight_selector
cloudtrail_test	aws_cloudtrail.cloudtrail_with_usage
cloudtrail_test	aws_cloudtrail.cloudtrail_without_management_events
cloudwatch_dashboard_test	aws_cloudwatch_dashboard.dashboard
cloudwatch_event_bus_test	aws_cloudwatch_event_bus.my_events
cloudwatch_event_bus_test	aws_cloudwatch_event_bus.my_events_withUsage
cloudwatch_log_group_test	aws_cloudwatch_log_group.logs
cloudwatch_log_group_test	aws_cloudwatch_log_group.logs_count_withUsage
cloudwatch_log_group_test	aws_cloudwatch_log_group.logs_withUsage
cloudwatch_metric_alarm_test	aws_cloudwatch_metric_alarm.anomaly_detection
cloudwatch_metric_alarm_test	aws_cloudwatch_metric_alarm.expression
cloudwatch_metric_alarm_test	aws_cloudwatch_metric_alarm.high
cloudwatch_metric_alarm_test	aws_cloudwatch_metric_alarm.standard
codebuild_project_test	aws_codebuild_project.my_large_linux_project
codebuild_project_test	aws_codebuild_project.my_large_windows_project
codebuild_project_test	aws_codebuild_project.my_medium_project
codebuild_project_test	aws_codebuild_project.my_project_noUsage
codebuild_project_test	aws_codebuild_project.my_small_project
config_config_rule_test	aws_config_config_rule.my_config
config_config_rule_test	aws_config_config_rule.my_config_withUsage
config_configuration_recorder_test	aws_config_configuration_recorder.my_config_configuration_recorder
config_configuration_recorder_test	aws_config_configuration_recorder.my_config_configuration_recorder_usage
config_organization_custom_rule_test	aws_config_organization_custom_rule.my_config_organization_custom_rule
config_organization_custom_rule_test	aws_config_organization_custom_rule.my_config_organization_custom_rule_usage
config_organization_managed_rule_test	aws_config_organization_managed_rule.my_config_organization_managed_rule
config_organization_managed_rule_test	aws_config_organization_managed_rule.my_config_organization_managed_rule_usage
data_transfer_test	-
db_instance_test	aws_db_instance.aurora
db_instance_test	aws_db_instance.aurora-mysql
db_instance_test	aws_db_instance.aurora-postgresql
db_instance_test	aws_db_instance.extended_support["aurora-5.7"]
db_instance_test	aws_db_instance.extended_support["aurora-5.7.44"]
db_instance_test	aws_db_instance.extended_support["aurora-8.0"]
db_instance_test	aws_db_instance.extended_support["aurora-8.0.36"]
db_instance_test	aws_db_instance.extended_support["aurora-mysql-5.7"]
db_instance_test	aws_db_instance.extended_support["aurora-mysql-5.7.44"]
db_instance_test	aws_db_instance.extended_support["aurora-mysql-8.0"]
db_instance_test	aws_db_instance.extended_support["aurora-mysql-8.0.36"]
db_instance_test	aws_db_instance.extended_support["aurora-postgresql-11"]
db_instance_test	aws_db_instance.extended_support["aurora-postgresql-11.22"]
db_instance_test	aws_db_instance.extended_support["aurora-postgresql-12"]
db_instance_test	aws_db_instance.extended_support["aurora-postgresql-13"]
db_instance_test	aws_db_instance.extended_support["aurora-postgresql-14"]
db_instance_test	aws_db_instance.extended_support["aurora-postgresql-15"]
db_instance_test	aws_db_instance.extended_support["aurora-postgresql-16"]
db_instance_test	aws_db_instance.extended_support["mysql-5.7"]
db_instance_test	aws_db_instance.extended_support["mysql-5.7.44"]
db_instance_test	aws_db_instance.extended_support["mysql-8.0"]
db_instance_test	aws_db_instance.extended_support["mysql-8.0.36"]
db_instance_test	aws_db_instance.extended_support["postgres-11"]
db_instance_test	aws_db_instance.extended_support["postgres-11.22"]
db_instance_test	aws_db_instance.extended_support["postgres-12"]
db_instance_test	aws_db_instance.extended_support["postgres-13"]
db_instance_test	aws_db_instance.extended_support["postgres-14"]
db_instance_test	aws_db_instance.extended_support["postgres-15"]
db_instance_test	aws_db_instance.extended_support["postgres-16"]
db_instance_test	aws_db_instance.gp3["above_high_baseline"]
db_instance_test	aws_db_instance.gp3["above_high_baseline"]
db_instance_test	aws_db_instance.gp3["above_low_baseline"]
db_instance_test	aws_db_instance.gp3["above_low_baseline"]
db_instance_test	aws_db_instance.gp3["below_high_baseline"]
db_instance_test	aws_db_instance.gp3["below_high_baseline"]
db_instance_test	aws_db_instance.gp3["below_low_baseline"]
db_instance_test	aws_db_instance.gp3["below_low_baseline"]
db_instance_test	aws_db_instance.gp3["multi_az"]
db_instance_test	aws_db_instance.gp3["multi_az"]
db_instance_test	aws_db_instance.mariadb
db_instance_test	aws_db_instance.mysql
db_instance_test	aws_db_instance.mysql-1yr-all-upfront-multi-az
db_instance_test	aws_db_instance.mysql-1yr-all-upfront-single-az
db_instance_test	aws_db_instance.mysql-1yr-no-upfront-multi-az
db_instance_test	aws_db_instance.mysql-1yr-no-upfront-single-az
db_instance_test	aws_db_instance.mysql-1yr-partial-upfront-multi-az
db_instance_test	aws_db_instance.mysql-1yr-partial-upfront-single-az
db_instance_test	aws_db_instance.mysql-allocated-storage
db_instance_test	aws_db_instance.mysql-allocated-storage
db_instance_test	aws_db_instance.mysql-default
db_instance_test	aws_db_instance.mysql-default-iops
db_instance_test	aws_db_instance.mysql-default-iops
db_instance_test	aws_db_instance.mysql-iops
db_instance_test	aws_db_instance.mysql-iops
db_instance_test	aws_db_instance.mysql-iops-below-min
db_instance_test	aws_db_instance.mysql-iops-below-min
db_instance_test	aws_db_instance.mysql-magnetic
db_instance_test	aws_db_instance.mysql-magnetic
db_instance_test	aws_db_instance.mysql-multi-az
db_instance_test	aws_db_instance.mysql-multi-az
db_instance_test	aws_db_instance.mysql-performance-insights
db_instance_test	aws_db_instance.mysql-performance-insights-usage
db_instance_test	aws_db_instance.mysql-replica
db_instance_test	aws_db_instance.oracle-ee
db_instance_test	aws_db_instance.oracle-ee-cdb
db_instance_test	aws_db_instance.oracle-se
db_instance_test	aws_db_instance.oracle-se1
db_instance_test	aws_db_instance.oracle-se1-byol
db_instance_test	aws_db_instance.oracle-se2
db_instance_test	aws_db_instance.oracle-se2-cdb
db_instance_test	aws_db_instance.postgres
db_instance_test	aws_db_instance.postgres-3yr-all-upfront-multi-az
db_instance_test	aws_db_instance.postgres-3yr-all-upfront-single-az
db_instance_test	aws_db_instance.postgres-3yr-partial-upfront-multi-az
db_instance_test	aws_db_instance.postgres-3yr-partial-upfront-single-az
db_instance_test	aws_db_instance.sqlserver-ee
db_instance_test	aws_db_instance.sqlserver-ex
db_instance_test	aws_db_instance.sqlserver-se
db_instance_test	aws_db_instance.sqlserver-web
directory_service_directory_test	aws_directory_service_directory.ad_connector_small
directory_service_directory_test	aws_directory_service_directory.microsoft_ad_enterprise
directory_service_directory_test	aws_directory_service_directory.microsoft_ad_standard
directory_service_directory_test	aws_directory_service_directory.microsoft_ad_with_usage
directory_service_directory_test	aws_directory_service_directory.simple_ad_large
directory_service_directory_test	aws_directory_service_directory.simple_ad_small
directory_service_directory_test	aws_directory_service_directory.simple_ad_with_usage
dms_test	aws_dms_replication_instance.my_dms_replication_instance_multi_high_storage
dms_test	aws_dms_replication_instance.my_dms_replication_instance_single_low_storage
docdb_cluster_instance_test	aws_docdb_cluster_instance.db
docdb_cluster_instance_test	aws_docdb_cluster_instance.dbue2
docdb_cluster_instance_test	aws_docdb_cluster_instance.large
docdb_cluster_instance_test	aws_docdb_cluster_instance.largeue2
docdb_cluster_instance_test	aws_docdb_cluster_instance.medium
docdb_cluster_instance_test	aws_docdb_cluster_instance.mediumue2
docdb_cluster_snapshot_test	aws_docdb_cluster_snapshot.my_aws_docdb_cluster_snapshot
docdb_cluster_snapshot_test	aws_docdb_cluster_snapshot.my_aws_docdb_cluster_snapshot_ue2
docdb_cluster_snapshot_test	aws_docdb_cluster_snapshot.my_aws_docdb_cluster_snapshot_usage
docdb_cluster_snapshot_test	aws_docdb_cluster_snapshot.my_aws_docdb_cluster_snapshot_usage_ue2
docdb_cluster_test	aws_docdb_cluster.my_docdb
docdb_cluster_test	aws_docdb_cluster.my_docdb_ue2
docdb_cluster_test	aws_docdb_cluster.my_docdb_usage
docdb_cluster_test	aws_docdb_cluster.my_docdb_usage_ue2
dx_connection_test	aws_dx_connection.my_dx_connection
dx_connection_test	aws_dx_connection.my_dx_connection_usage
dx_connection_test	aws_dx_connection.my_dx_connection_usage_backwards_compat
dx_gateway_association_test	aws_dx_gateway_association.my_aws_dx_gateway_association
dx_gateway_association_test	aws_dx_gateway_association.my_aws_dx_gateway_association_usage
dynamodb_table_china_test	aws_dynamodb_table.my_dynamodb_table_china
dynamodb_table_test	aws_appautoscaling_target.autoscale_dynamodb_table_literal_ref
dynamodb_table_test	aws_appautoscaling_target.autoscale_dynamodb_table_read_target
dynamodb_table_test	aws_appautoscaling_target.autoscale_dynamodb_table_read_target_usage
dynamodb_table_test	aws_appautoscaling_target.autoscale_dynamodb_table_write_target
dynamodb_table_test	aws_appautoscaling_target.autoscale_dynamodb_table_write_target_usage
dynamodb_table_test	aws_dynamodb_table.autoscale_dynamodb_table
dynamodb_table_test	aws_dynamodb_table.autoscale_dynamodb_table_literal_ref
dynamodb_table_test	aws_dynamodb_table.autoscale_dynamodb_table_usage
dynamodb_table_test	aws_dynamodb_table.my_dynamodb_table
dynamodb_table_test	aws_dynamodb_table.my_dynamodb_table_usage
dynamodb_table_test	aws_dynamodb_table.my_dynamodb_table_with_no_billing_mode
ebs_snapshot_copy_test	aws_ebs_snapshot.gp2
ebs_snapshot_copy_test	aws_ebs_snapshot_copy.gp2
ebs_snapshot_copy_test	aws_ebs_volume.gp2
ebs_snapshot_test	aws_ebs_snapshot.gp2
ebs_snapshot_test	aws_ebs_snapshot.gp2_usage
ebs_snapshot_test	aws_ebs_volume.gp2
ebs_volume_test	aws_ebs_volume.gp2
ebs_volume_test	aws_ebs_volume.gp3
ebs_volume_test	aws_ebs_volume.io1
ebs_volume_test	aws_ebs_volume.io2
ebs_volume_test	aws_ebs_volume.sc1
ebs_volume_test	aws_ebs_volume.st1
ebs_volume_test	aws_ebs_volume.standard
ebs_volume_test	aws_ebs_volume.standard_withUsage
ec2_client_vpn_endpoint_test	aws_ec2_client_vpn_endpoint.endpoint
ec2_client_vpn_network_association_test	aws_ec2_client_vpn_network_association.association
ec2_host_test	aws_ec2_host.ec2_host
ec2_host_test	aws_ec2_host.host-1yr-all-upfront
ec2_host_test	aws_ec2_host.host-1yr-no-upfront
ec2_host_test	aws_ec2_host.host-1yr-partial-upfront
ec2_host_test	aws_ec2_host.host-3yr-all-upfront
ec2_host_test	aws_ec2_host.host-3yr-no-upfront
ec2_host_test	aws_ec2_host.host-3yr-partial-upfront
ec2_host_test	aws_ec2_host.mac
ec2_traffic_mirror_session_test	aws_ec2_traffic_mirror_session.session
ec2_transit_gateway_peering_attachment_test	aws_ec2_transit_gateway_peering_attachment.peering
ec2_transit_gateway_vpc_attachment_test	aws_ec2_transit_gateway_vpc_attachment.vpc_attachment
ecr_repository_test	aws_ecr_repository.repo
ecr_repository_test	aws_ecr_repository.repo1
ecs_service_test	aws_ecs_cluster.ecs1
ecs_service_test	aws_ecs_cluster.ecs2
ecs_service_test	aws_ecs_cluster.ecs3
ecs_service_test	aws_ecs_cluster.ecs4
ecs_service_test	aws_ecs_cluster.ecs5
ecs_service_test	aws_ecs_cluster.ecs_no_fargate_cluster_2
ecs_service_test	aws_ecs_cluster.task_set
ecs_service_test	aws_ecs_cluster_capacity_providers.cappro1
ecs_service_test	aws_ecs_cluster_capacity_providers.cappro2
ecs_service_test	aws_ecs_cluster_capacity_providers.cappro3
ecs_service_test	aws_ecs_cluster_capacity_providers.cappro4
ecs_service_test	aws_ecs_cluster_capacity_providers.cappro5
ecs_service_test	aws_ecs_service.ecs_fargate1
ecs_service_test	aws_ecs_service.ecs_fargate11_family
ecs_service_test	aws_ecs_service.ecs_fargate2
ecs_service_test	aws_ecs_service.ecs_fargate3
ecs_service_test	aws_ecs_service.ecs_fargate4
ecs_service_test	aws_ecs_service.ecs_fargate5
ecs_service_test	aws_ecs_service.ecs_fargate_no_cluster_1
ecs_service_test	aws_ecs_service.ecs_fargate_no_cluster_2
ecs_service_test	aws_ecs_service.ecs_no_fargate_1
ecs_service_test	aws_ecs_service.ecs_no_fargate_2
ecs_service_test	aws_ecs_service.task_set
ecs_service_test	aws_ecs_task_definition.ecs_task
ecs_service_test	aws_ecs_task_definition.task_set
ecs_service_test	aws_ecs_task_set.task_set
efs_file_system_test	aws_efs_file_system.no_usage
efs_file_system_test	aws_efs_file_system.no_usage_with_lifecycle_policy
efs_file_system_test	aws_efs_file_system.oneZone
efs_file_system_test	aws_efs_file_system.provisioned
efs_file_system_test	aws_efs_file_system.standard
eip_test	aws_eip.eip1
eip_test	aws_eip.eip2
eip_test	aws_eip.eip3
eip_test	aws_eip.eip4
eip_test	aws_eip_association.assoc
eip_test	aws_instance.instance
eip_test	aws_lb.example
eip_test	aws_nat_gateway.nat_gw
eks_cluster_test	aws_eks_cluster.extended_support["1.23"]
eks_cluster_test	aws_eks_cluster.extended_support["1.24"]
eks_cluster_test	aws_eks_cluster.extended_support["1.25"]
eks_cluster_test	aws_eks_cluster.extended_support["1.26"]
eks_cluster_test	aws_eks_cluster.extended_support["1.27"]
eks_cluster_test	aws_eks_cluster.extended_support["1.28"]
eks_cluster_test	aws_eks_cluster.extended_support["1.29"]
eks_cluster_test	aws_eks_cluster.my_aws_eks_cluster
eks_fargate_profile_test	aws_eks_cluster.example
eks_fargate_profile_test	aws_eks_fargate_profile.example
eks_node_group_test	aws_eks_node_group.example
eks_node_group_test	aws_eks_node_group.example2
eks_node_group_test	aws_eks_node_group.example2
eks_node_group_test	aws_eks_node_group.example_defaultCpuCredits
eks_node_group_test	aws_eks_node_group.example_with_launch_template
eks_node_group_test	aws_eks_node_group.example_with_launch_template
eks_node_group_test	aws_eks_node_group.example_with_launch_template_2
eks_node_group_test	aws_eks_node_group.example_with_launch_template_2
eks_node_group_test	aws_eks_node_group.example_with_launch_template_3
eks_node_group_test	aws_eks_node_group.example_with_launch_template_instance_types_default
eks_node_group_test	aws_eks_node_group.example_with_launch_template_with_prefix
eks_node_group_test	aws_eks_node_group.example_with_launch_template_with_prefix
eks_node_group_test	aws_eks_node_group.lt_usage
eks_node_group_test	aws_eks_node_group.lt_usage
eks_node_group_test	aws_eks_node_group.reserved
eks_node_group_test	aws_eks_node_group.usage
eks_node_group_test	aws_eks_node_group.windows
eks_node_group_test	aws_launch_template.bar
eks_node_group_test	aws_launch_template.foo
eks_node_group_test	aws_launch_template.foo2
eks_node_group_test	aws_launch_template.foo3
eks_node_group_test	aws_launch_template.lt_usage
eks_node_group_test	aws_launch_template.prefix
elastic_beanstalk_environment_test	aws_elastic_beanstalk_application.my_eb_application
elastic_beanstalk_environment_test	aws_elastic_beanstalk_environment.my_eb_environment
elastic_beanstalk_environment_test	aws_elastic_beanstalk_environment.my_eb_environment_asg_instance_type
elastic_beanstalk_environment_test	aws_elastic_beanstalk_environment.my_eb_environment_asg_instance_types
elastic_beanstalk_environment_test	aws_elastic_beanstalk_environment.my_eb_environment_with_rds
elastic_beanstalk_environment_test	aws_elastic_beanstalk_environment.my_eb_environment_with_rds_no_usage
elastic_beanstalk_environment_test	aws_elastic_beanstalk_environment.my_eb_environment_with_usage
elasticache_cluster_test	aws_elasticache_cluster.memcached
elasticache_cluster_test	aws_elasticache_cluster.redis
elasticache_cluster_test	aws_elasticache_cluster.redis_reserved_1yr_all_upfront
elasticache_cluster_test	aws_elasticache_cluster.redis_reserved_1yr_no_upfront
elasticache_cluster_test	aws_elasticache_cluster.redis_reserved_1yr_partial_upfront
elasticache_cluster_test	aws_elasticache_cluster.redis_snapshot
elasticache_cluster_test	aws_elasticache_cluster.redis_snapshot_usage
elasticache_cluster_test	aws_elasticache_cluster.replication_group
elasticache_cluster_test	aws_elasticache_replication_group.replication_group
elasticache_replication_group_test	aws_appautoscaling_target.autoscale_node_groups
elasticache_replication_group_test	aws_appautoscaling_target.autoscale_node_groups_usage
elasticache_replication_group_test	aws_appautoscaling_target.autoscale_replicas
elasticache_replication_group_test	aws_elasticache_replication_group.cluster
elasticache_replication_group_test	aws_elasticache_replication_group.cluster-autoscale
elasticache_replication_group_test	aws_elasticache_replication_group.cluster-autoscale-usage
elasticache_replication_group_test	aws_elasticache_replication_group.cluster_reserved
elasticache_replication_group_test	aws_elasticache_replication_group.non-cluster
elasticache_replication_group_test	aws_elasticache_replication_group.non-cluster-snapshot
elasticsearch_domain_test	aws_elasticsearch_domain.gp2
elasticsearch_domain_test	aws_elasticsearch_domain.gp3
elasticsearch_domain_test	aws_elasticsearch_domain.gp3_throughput["above_3TB_free"]
elasticsearch_domain_test	aws_elasticsearch_domain.gp3_throughput["above_3TB_free_round_up"]
elasticsearch_domain_test	aws_elasticsearch_domain.gp3_throughput["above_3TB_paid"]
elasticsearch_domain_test	aws_elasticsearch_domain.gp3_throughput["above_3TB_paid_mul"]
elasticsearch_domain_test	aws_elasticsearch_domain.gp3_throughput["above_min_storage_free"]
elasticsearch_domain_test	aws_elasticsearch_domain.gp3_throughput["below_min_storage_free"]
elasticsearch_domain_test	aws_elasticsearch_domain.gp3_throughput["below_min_storage_mul_paid"]
elasticsearch_domain_test	aws_elasticsearch_domain.gp3_throughput["below_min_storage_paid"]
elasticsearch_domain_test	aws_elasticsearch_domain.io1
elasticsearch_domain_test	aws_elasticsearch_domain.std
elb_test	aws_elb.elb1
elb_test	aws_elb.my_elb
fsx_openzfs_file_system_test	aws_fsx_openzfs_file_system.my_compressed_default_system_ssd
fsx_openzfs_file_system_test	aws_fsx_openzfs_file_system.my_compressed_system_ssd
fsx_openzfs_file_system_test	aws_fsx_openzfs_file_system.my_iops_system_ssd
fsx_openzfs_file_system_test	aws_fsx_openzfs_file_system.my_simple_system_ssd
fsx_windows_file_system_test	aws_fsx_windows_file_system.my_file_system
fsx_windows_file_system_test	aws_fsx_windows_file_system.my_file_system_ssd
fsx_windows_file_system_test	aws_fsx_windows_file_system.my_system
fsx_windows_file_system_test	aws_fsx_windows_file_system.my_system_ssd
global_accelerator_endpoint_group_test	aws_globalaccelerator_endpoint_group.eu_west_1
global_accelerator_endpoint_group_test	aws_globalaccelerator_endpoint_group.us_east_1
global_accelerator_test	aws_globalaccelerator_accelerator.example
glue_catalog_database_test	aws_glue_catalog_database.with_usage
glue_catalog_database_test	aws_glue_catalog_database.with_usage_below
glue_catalog_database_test	aws_glue_catalog_database.without_usage
glue_crawler_test	aws_glue_crawler.no_usage
glue_crawler_test	aws_glue_crawler.with_usage
glue_job_test	aws_glue_job.cap_10
glue_job_test	aws_glue_job.job_no_usage
glue_job_test	aws_glue_job.python_shell
glue_job_test	aws_glue_job.workers_default
glue_job_test	aws_glue_job.workers_g1x
glue_job_test	aws_glue_job.workers_g2x
grafana_workspace_test	aws_grafana_license_association.enterprise
grafana_workspace_test	aws_grafana_license_association.enterprise_usage
grafana_workspace_test	aws_grafana_workspace.no_license
grafana_workspace_test	aws_grafana_workspace.with_enterprise_license
grafana_workspace_test	aws_grafana_workspace.with_enterprise_license_and_usage
grafana_workspace_test	aws_grafana_workspace.with_usage
instance_test	aws_ec2_host.mac
instance_test	aws_instance.cnvr_1yr_all_upfront
instance_test	aws_instance.cnvr_1yr_no_upfront
instance_test	aws_instance.cnvr_1yr_partial_upfront
instance_test	aws_instance.cnvr_3yr_all_upfront
instance_test	aws_instance.cnvr_3yr_no_upfront
instance_test	aws_instance.cnvr_3yr_partial_upfront
instance_test	aws_instance.instance1
instance_test	aws_instance.instance1_detailedMonitoring
instance_test	aws_instance.instance1_ebsOptimized
instance_test	aws_instance.instance1_hostTenancy
instance_test	aws_instance.instance2_ebsOptimized
instance_test	aws_instance.instance_detailedMonitoring_withMonthlyHours
instance_test	aws_instance.instance_ebsOptimized_withMonthlyHours
instance_test	aws_instance.instance_withLaunchTemplateById
instance_test	aws_instance.instance_withLaunchTemplateByName
instance_test	aws_instance.instance_withLaunchTemplateOverride
instance_test	aws_instance.instance_withMonthlyHours
instance_test	aws_instance.std_1yr_all_upfront
instance_test	aws_instance.std_1yr_no_upfront
instance_test	aws_instance.std_1yr_partial_upfront
instance_test	aws_instance.std_3yr_all_upfront
instance_test	aws_instance.std_3yr_no_upfront
instance_test	aws_instance.std_3yr_partial_upfront
instance_test	aws_instance.t2_default_cpuCredits
instance_test	aws_instance.t2_standard_cpuCredits
instance_test	aws_instance.t2_unlimited_cpuCredits
instance_test	aws_instance.t3_default_cpuCredits
instance_test	aws_instance.t3_standard_cpuCredits
instance_test	aws_instance.t3_unlimited_cpuCredits
instance_test	aws_instance.with_host
instance_test	aws_launch_template.example
kinesis_firehose_delivery_stream_test	aws_elasticsearch_domain.test_cluster
kinesis_firehose_delivery_stream_test	aws_iam_role.firehose
kinesis_firehose_delivery_stream_test	aws_kinesis_firehose_delivery_stream.EnabledFalse
kinesis_firehose_delivery_stream_test	aws_kinesis_firehose_delivery_stream.forTwoMilGB
kinesis_firehose_delivery_stream_test	aws_kinesis_firehose_delivery_stream.onlyDataIngested
kinesis_firehose_delivery_stream_test	aws_kinesis_firehose_delivery_stream.withAllTags
kinesis_firehose_delivery_stream_test	aws_kinesis_firehose_delivery_stream.with_dynamic_subnet
kinesis_firehose_delivery_stream_test	aws_kinesis_firehose_delivery_stream.withoutUsage
kinesis_firehose_delivery_stream_test	aws_s3_bucket.bucket
kinesis_firehose_delivery_stream_test	aws_s3_bucket_acl.bucket_acl
kinesis_firehose_delivery_stream_test	aws_subnet.test
kinesis_firehose_delivery_stream_test	aws_subnet.test2
kinesis_firehose_delivery_stream_test	aws_vpc.main
kinesis_stream_test	aws_kinesis_stream.test_stream_on_demand
kinesis_stream_test	aws_kinesis_stream.test_stream_on_demand_with_usage
kinesis_stream_test	aws_kinesis_stream.test_stream_provisioned
kinesis_stream_test	aws_kinesis_stream.test_stream_provisioned_with_usage
kinesis_stream_test	aws_kinesis_stream.use2_test_stream_on_demand
kinesis_stream_test	aws_kinesis_stream.use2_test_stream_on_demand_with_usage
kinesis_stream_test	aws_kinesis_stream.use2_test_stream_provisioned
kinesis_stream_test	aws_kinesis_stream.use2_test_stream_provisioned_with_usage
